日期,成交笔数,开盘持仓,收盘持仓,成交额,手续费,滑点,交易盈亏,持仓盈亏,总盈亏,净盈亏,收益走势
2020/1/11,0,0,0,0,0,0,0,0,0,0,0
2020/1/12,1,0,0.069060773,1003.25,0.4,0,-1.93,0,-1.93,-2.34,-2.34
2020/1/13,0,0.069060773,0.069060773,0,0,0,0,-15.06,-15.06,-15.06,-17.4
2020/1/14,0,0.069060773,0.069060773,0,0,0,0,91.64,91.64,91.64,74.24
2020/1/15,0,0.069060773,0.069060773,0,0,0,0,45.17,45.17,45.17,119.41
2020/1/16,0,0.069060773,0.069060773,0,0,0,0,0.69,0.69,0.69,120.1
2020/1/17,0,0.069060773,0.069060773,0,0,0,0,39.92,39.92,39.92,160.02
2020/1/18,0,0.069060773,0.069060773,0,0,0,0,49.59,49.59,49.59,209.61
2020/1/19,2,0.069060773,-0.049640633,1982.08,0.79,0,23.98,-74.03,-50.06,-50.85,158.76
2020/1/20,0,-0.049640633,-0.049640633,0,0,0,0,-10.28,-10.28,-10.28,148.48
2020/1/21,0,-0.049640633,-0.049640633,0,0,0,0,-6.16,-6.16,-6.16,142.32
2020/1/22,2,-0.049640633,0.068681558,2009.11,0.8,0,-26.15,3.38,-22.77,-23.58,118.74
2020/1/23,2,0.068681558,-0.053135959,1993.42,0.8,0,4.39,-29.6,-25.22,-26.01,92.73
2020/1/24,0,-0.053135959,-0.053135959,0,0,0,0,2.98,2.98,2.98,95.71
2020/1/25,0,-0.053135959,-0.053135959,0,0,0,0,11.32,11.32,11.32,107.03
2020/1/26,2,-0.053135959,0.069683987,2006.26,0.8,0,1.11,-15.14,-14.04,-14.84,92.19
2020/1/27,0,0.069683987,0.069683987,0,0,0,0,46.41,46.41,46.41,138.6
2020/1/28,0,0.069683987,0.069683987,0,0,0,0,17.28,17.28,17.28,155.88
2020/1/29,0,0.069683987,0.069683987,0,0,0,0,19.3,19.3,19.3,175.18
2020/1/30,0,0.069683987,0.069683987,0,0,0,0,16.72,16.72,16.72,191.9
2020/1/31,0,0.069683987,0.069683987,0,0,0,0,17.07,17.07,17.07,208.97
2020/2/1,0,0.069683987,0.069683987,0,0,0,0,10.1,10.1,10.1,219.07
2020/2/2,0,0.069683987,0.069683987,0,0,0,0,76.72,76.72,76.72,295.79
2020/2/3,0,0.069683987,0.069683987,0,0,0,0,-34.7,-34.7,-34.7,261.09
2020/2/4,0,0.069683987,0.069683987,0,0,0,0,5.64,5.64,5.64,266.73
2020/2/5,0,0.069683987,0.069683987,0,0,0,0,74.14,74.14,74.14,340.87
2020/2/6,0,0.069683987,0.069683987,0,0,0,0,93.79,93.79,93.79,434.66
2020/2/7,0,0.069683987,0.069683987,0,0,0,0,63.97,63.97,63.97,498.63
2020/2/8,0,0.069683987,0.069683987,0,0,0,0,26.62,26.62,26.62,525.25
2020/2/9,0,0.069683987,0.069683987,0,0,0,0,11.85,11.85,11.85,537.1
2020/2/10,2,0.069683987,-0.02010277,1993.09,0.8,0,-13.47,-26.55,-40.02,-40.81,496.29
2020/2/11,2,-0.02010277,0.067701252,2006.41,0.8,0,8.17,-11.98,-3.82,-4.62,491.67
2020/2/12,0,0.067701252,0.067701252,0,0,0,0,169.12,169.12,169.12,660.79
2020/2/13,0,0.067701252,0.067701252,0,0,0,0,110.62,110.62,110.62,771.41
2020/2/14,0,0.067701252,0.067701252,0,0,0,0,17.06,17.06,17.06,788.47
2020/2/15,0,0.067701252,0.067701252,0,0,0,0,7.24,7.24,7.24,795.71
2020/2/16,2,0.067701252,-0.008617149,1999.47,0.8,0,19.54,-101.01,-81.47,-82.27,713.44
2020/2/17,0,-0.008617149,-0.008617149,0,0,0,0,2.37,2.37,2.37,715.81
2020/2/18,2,-0.008617149,0.066517154,2005.48,0.8,0,52.97,-14.9,38.07,37.27,753.08
2020/2/19,0,0.066517154,0.066517154,0,0,0,0,39.44,39.44,39.44,792.52
2020/2/20,2,0.066517154,-0.006855801,1994.86,0.8,0,121.51,-163.5,-41.99,-42.79,749.73
2020/2/21,0,-0.006855801,-0.006855801,0,0,0,0,-6.9,-6.9,-6.9,742.83
2020/2/22,0,-0.006855801,-0.006855801,0,0,0,0,2.79,2.79,2.79,745.62
2020/2/23,2,-0.006855801,0.068400069,2003.46,0.8,0,31.46,-6.23,25.23,24.43,770.05
2020/2/24,0,0.068400069,0.068400069,0,0,0,0,-17.51,-17.51,-17.51,752.54
